Data,Feriado,Tipo
01/01/2023,Confraternização mundial,Nacional
21/02/2023,Carnaval,Nacional
07/04/2023,Sexta-feira Santa,Nacional
09/04/2023,Páscoa,Nacional
21/04/2023,Tiradentes,Nacional
01/05/2023,Dia do trabalho,Nacional
08/06/2023,Corpus Christi,Nacional
07/09/2023,Independência do Brasil,Nacional
12/10/2023,Nossa Senhora Aparecida,Nacional
02/11/2023,Finados,Nacional
15/11/2023,Proclamação da República,Nacional
25/12/2023,Natal,Nacional
